Wall time,Step,Value
1622469397.9317575,6279,-32.19711685180664
1622469533.5468466,10445,-42.8774299621582
1622469620.6714094,13304,-48.613834381103516
1622469848.8318045,20841,-48.87163162231445
1622469973.9305964,24938,-50.19409942626953
1622470136.6432967,30300,-49.90994644165039
1622470245.1598983,33803,-47.75927734375
1622470407.2804973,39025,-49.796329498291016
1622470500.760143,42131,-50.176673889160156
1622470573.979609,44349,-51.41487503051758
1622470723.9436781,49165,-52.90584945678711
1622470741.7410254,49752,-51.106117248535156
1622470815.079066,51971,-52.24782180786133
1622470816.3394196,52013,-53.0969352722168
1622470924.8758597,55629,-53.99272918701172
1622470995.5186896,57944,-52.86790466308594
1622471243.8516192,65858,-55.69424057006836
1622471313.0509045,67898,-55.15360641479492
1622471341.3794408,68826,-54.88590621948242
1622471388.6156983,70360,-54.06998825073242
1622471490.2765687,73453,-56.21888732910156
1622471638.1674864,78229,-57.58909606933594
1622471897.5590746,86402,-59.42403793334961
1622472021.772863,90172,-58.457191467285156
1622472041.9922628,90822,-57.36363220214844
1622472086.7556076,92253,-58.472923278808594
1622472494.2523944,105077,-59.843231201171875
1622472588.017118,107868,-60.25059509277344
1622472651.9099185,109914,-60.69607162475586
1622472655.4295197,110026,-61.39179992675781
1622472943.404742,119025,-60.87800598144531
1622472958.4129336,119508,-60.83369445800781
1622473271.3160815,129285,-60.62309265136719
1622473271.943587,129305,-60.77376937866211
1622473455.9051118,135169,-60.59266662597656
1622473624.741306,140342,-61.04364776611328
1622474008.4233084,152310,-62.976295471191406
1622474077.9446263,154525,-62.072059631347656
1622474091.3009715,154951,-61.69633865356445
1622474235.3929908,159308,-62.797821044921875
1622474589.5185957,170375,-62.61152648925781
1622474835.1295266,177973,-62.873512268066406
1622474899.9304264,180033,-62.167877197265625
1622475079.0642447,185500,-63.0766487121582
1622475335.655672,193440,-63.101905822753906
1622475390.7166803,195194,-63.39545440673828
1622475551.0812898,200265,-63.40605926513672
1622475559.3357213,200528,-63.63164520263672
1622475817.763336,208520,-64.2537612915039
1622475950.0701063,212513,-64.42243957519531
1622475952.4838617,212589,-64.00860595703125
1622475982.8042614,213545,-65.02228546142578
1622476005.3251371,214262,-64.68960571289062
1622476191.8073604,219984,-64.97068786621094
1622476327.452416,224275,-65.790283203125
1622476642.0009196,234040,-65.7048568725586
1622476768.449402,237824,-65.85299682617188
1622476783.6117415,238303,-65.86790466308594
1622476873.0316248,241146,-65.97441864013672
1622477061.204801,246917,-66.79407501220703
1622477084.152456,247649,-66.4468994140625
1622477121.5326197,248826,-67.09237670898438
1622477135.9064682,249278,-66.751220703125
1622477314.8458374,254728,-66.65003204345703
1622477429.146562,258361,-66.43956756591797
1622477565.1768663,262451,-66.6850357055664
1622477569.7603533,262594,-67.54501342773438
1622477750.927322,268220,-67.73483276367188
1622478027.2697897,276716,-67.63494873046875
1622478031.7680898,276857,-67.17079162597656
1622478120.837196,279544,-67.38835144042969
1622478588.8487806,294062,-69.23140716552734
1622478958.5809278,305298,-68.9203109741211
1622478981.9934525,306033,-68.88615417480469
1622479043.7279494,307984,-70.24832916259766
1622479127.9568524,310630,-70.08738708496094
1622479405.661701,319156,-71.11677551269531
1622479628.9007368,325850,-70.93556213378906
1622479771.3334332,330337,-72.34613037109375
1622479896.1076884,334022,-72.45227813720703
1622480026.3243852,338112,-72.6939926147461
1622480069.6813803,339476,-73.36624145507812
1622480161.1361768,342132,-73.5726089477539
1622480256.7172294,345132,-74.29977416992188
1622480277.5735536,345781,-74.09769439697266
1622480353.8935158,348177,-74.35696411132812
1622480707.613341,359064,-76.00894165039062
1622481021.5134938,368494,-76.85549926757812
1622481145.1495066,372370,-77.87239074707031
1622481233.8042939,375145,-77.95571899414062
1622481395.7495275,380027,-78.47720336914062
1622481579.9450846,385772,-79.3817367553711
1622481838.9436724,393643,-79.43971252441406
1622481872.8361604,394700,-79.39642333984375
1622482440.893592,412051,-80.35084533691406
1622482573.643656,415985,-80.98826599121094
1622483358.5684435,440091,-83.35267639160156
1622483457.4961557,442968,-83.41668701171875
1622483838.346775,454646,-84.96581268310547
1622483853.9749715,455133,-84.70238494873047
1622483941.1811993,457858,-85.21859741210938
1622484555.241353,476623,-86.6131820678711
1622484582.077305,477271,-86.36451721191406
1622484652.1227207,479462,-86.29488372802734
1622484858.5059617,485675,-87.00163269042969
1622484994.5132365,489920,-87.33477783203125
1622485091.4722261,492941,-87.2465591430664
1622485432.2691643,503151,-88.58326721191406
1622485497.8174188,505191,-88.33560943603516
1622485940.325001,518578,-89.75135803222656
1622486119.1084642,524137,-89.1627426147461
1622486119.4610164,524148,-89.2519760131836
1622486237.035653,527601,-90.00457763671875
1622486290.1750653,529260,-89.90473175048828
1622486319.3535714,530171,-90.2676773071289
1622486357.7493618,531363,-90.40140533447266
1622486522.3499386,536278,-90.24919128417969
1622486642.453438,540036,-90.80563354492188
1622487010.0935264,551267,-91.58841705322266
1622487134.901165,554922,-92.28797149658203
1622487324.1222777,560804,-92.38472747802734
1622487457.1773021,564746,-92.31517028808594
1622487880.973071,577504,-93.8729019165039
1622488036.136533,582319,-93.80311584472656
1622488298.1928766,590254,-94.3729248046875
1622488350.1578186,591873,-94.91598510742188
1622488461.9770706,595146,-95.5765609741211
1622488498.8681328,596290,-95.36094665527344
1622488695.7827213,602418,-95.55660247802734
1622488881.333869,607983,-96.63713073730469
1622489009.3703372,611957,-96.37542724609375
1622489297.4693987,620672,-96.9417495727539
1622489473.216066,625908,-98.25611114501953
1622489900.5642173,638730,-98.2291030883789
1622490104.829008,645081,-98.69176483154297
1622490217.898914,648385,-99.4201431274414
1622490309.793029,651236,-99.73538970947266
